ensembl_gene_id	gene_biotype	external_gene_name	percentage_gene_gc_content
ENSMUSG00000007989	protein_coding	Fzd3	39.49
ENSMUSG00000008028	protein_coding	1700008O03Rik	49
ENSMUSG00000008035	protein_coding	Mid1ip1	51.6
ENSMUSG00000008036	protein_coding	Ap2s1	52.27
ENSMUSG00000008090	protein_coding	Fgfrl1	55.7
ENSMUSG00000008129	protein_coding	4930432K21Rik	47.28
ENSMUSG00000008136	protein_coding	Fhl2	44.75
ENSMUSG00000008140	protein_coding	Emc10	55.07
ENSMUSG00000008153	protein_coding	Clstn3	49.32
ENSMUSG00000008167	protein_coding	Fbxw9	51.33
ENSMUSG00000008193	protein_coding	Spib	53.87
ENSMUSG00000008200	protein_coding	Fnbp4	41.8
ENSMUSG00000008206	protein_coding	Cers4	45.96
ENSMUSG00000008226	protein_coding	Scrn3	41
ENSMUSG00000008301	protein_coding	Phax	44.01
ENSMUSG00000008305	protein_coding	Tle1	41.35
ENSMUSG00000008307	protein_coding	1700109H08Rik	43.13
ENSMUSG00000008318	protein_coding	Relt	53.88
ENSMUSG00000008333	protein_coding	Snrpb2	40.86
ENSMUSG00000008348	protein_coding	Ubc	55.76
ENSMUSG00000008373	protein_coding	Prpf31	49.22
ENSMUSG00000008384	protein_coding	Sertad1	55.83
ENSMUSG00000008393	protein_coding	Carhsp1	53.2
ENSMUSG00000008398	protein_coding	Elk3	47.61
ENSMUSG00000008429	protein_coding	Herpud2	38.53
ENSMUSG00000008435	protein_coding	Rdh13	46.95
ENSMUSG00000008438	protein_coding	Adam21	41.24
ENSMUSG00000008450	protein_coding	Nutf2	46.86
ENSMUSG00000008461	protein_coding	Fut1	52
ENSMUSG00000008475	protein_coding	Arpc5	42.66
ENSMUSG00000008482	protein_coding	Rnf151	51.1
ENSMUSG00000008489	protein_coding	Elavl2	40.19
ENSMUSG00000008496	protein_coding	Pou2f2	51.78
ENSMUSG00000008540	protein_coding	Mgst1	42.94
ENSMUSG00000008575	protein_coding	Nfib	41.74
ENSMUSG00000008590	protein_coding	Htr3b	43.95
ENSMUSG00000008601	protein_coding	Rab25	50.49
ENSMUSG00000008604	protein_coding	Ubqln4	50.34
ENSMUSG00000008658	protein_coding	Rbfox1	42.11
ENSMUSG00000008668	protein_coding	Rps18	51.34
ENSMUSG00000008682	protein_coding	Rpl10	45.87
ENSMUSG00000008683	protein_coding	Rps15a	45.52
ENSMUSG00000008690	protein_coding	Ncaph2	49.43
ENSMUSG00000008730	protein_coding	Hipk1	42.62
ENSMUSG00000008734	protein_coding	Gprc5b	50.8
ENSMUSG00000008763	protein_coding	Man1a2	38.75
ENSMUSG00000008789	protein_coding	Ceacam5	39.49
ENSMUSG00000008813	protein_coding	Tppp2	50.66
ENSMUSG00000008822	protein_coding	Acyp1	44.95
ENSMUSG00000008843	protein_coding	Cldn13	52.19
ENSMUSG00000008845	protein_coding	Cd163	41.47
ENSMUSG00000008855	protein_coding	Hdac5	54.97
ENSMUSG00000008859	protein_coding	Rala	40.9
ENSMUSG00000008874	protein_coding	Clec3a	44.9
ENSMUSG00000008892	protein_coding	Vdac3	40.76
ENSMUSG00000008932	protein_coding	Slc1a7	50.38
ENSMUSG00000008958	protein_coding	Vps72	45.83
ENSMUSG00000008976	protein_coding	Gabpa	40.67
ENSMUSG00000008999	protein_coding	Bmp7	52.07
ENSMUSG00000009013	protein_coding	Dynll1	50.54
ENSMUSG00000009030	protein_coding	Pdcl	42.24
ENSMUSG00000009035	protein_coding	Tmem184b	53.19
ENSMUSG00000009047	protein_coding	Gm5965	53.54
ENSMUSG00000009070	protein_coding	Rsph14	52.08
ENSMUSG00000009073	protein_coding	Nf2	44.73
ENSMUSG00000009075	protein_coding	Cabp7	57.44
ENSMUSG00000009076	protein_coding	Zmat5	49.16
ENSMUSG00000009079	protein_coding	Ewsr1	42.57
ENSMUSG00000009090	protein_coding	Ap1b1	48.12
ENSMUSG00000009092	protein_coding	Derl3	57.97
ENSMUSG00000009093	protein_coding	Gstt4	46.63
ENSMUSG00000009097	protein_coding	Tbx1	59.81
ENSMUSG00000009108	protein_coding	Gnat2	46.74
ENSMUSG00000009112	protein_coding	Bcl2l13	43.41
ENSMUSG00000009114	protein_coding	2610028H24Rik	49.04
ENSMUSG00000009115	protein_coding	Spatc1l	48.27
ENSMUSG00000009145	protein_coding	Dqx1	50.64
ENSMUSG00000009185	protein_coding	Ccl8	48.17
ENSMUSG00000009207	protein_coding	Lnpk	35.74
ENSMUSG00000009210	protein_coding	Prr29	49.76
ENSMUSG00000009214	protein_coding	Mymk	50.68
ENSMUSG00000009216	protein_coding	Fam163b	51.56
ENSMUSG00000009246	protein_coding	Trpm5	52.98
ENSMUSG00000009248	protein_coding	Ascl2	60.39
ENSMUSG00000009281	protein_coding	Rarres2	50.55
ENSMUSG00000009291	protein_coding	Pttg1ip	50.02
ENSMUSG00000009292	protein_coding	Trpm2	49.71
ENSMUSG00000009293	protein_coding	Ube2g2	48.59
ENSMUSG00000009350	protein_coding	Mpo	50.93
ENSMUSG00000009356	protein_coding	Lpo	48.2
ENSMUSG00000009376	protein_coding	Met	41.79
ENSMUSG00000009378	protein_coding	Slc16a12	40.91
ENSMUSG00000009394	protein_coding	Syn2	41.82
ENSMUSG00000009406	protein_coding	Elk1	44.14
ENSMUSG00000009418	protein_coding	Nav1	48.26
ENSMUSG00000009470	protein_coding	Tnpo1	41.51
ENSMUSG00000009471	protein_coding	Myod1	58.15
ENSMUSG00000009487	protein_coding	Otog	50.69
ENSMUSG00000009535	protein_coding	Rnmt	41.34
ENSMUSG00000009545	protein_coding	Kcnq1	46.61
ENSMUSG00000009549	protein_coding	Srp14	49.69
ENSMUSG00000009551	protein_coding	6330409D20Rik	50.07
ENSMUSG00000009555	protein_coding	Cdk9	53.54
ENSMUSG00000009563	protein_coding	Tor2a	54.62
ENSMUSG00000009566	protein_coding	Fpgs	52.05
ENSMUSG00000009569	protein_coding	Mrtfb	42.96
ENSMUSG00000009575	protein_coding	Cbx5	41.23
ENSMUSG00000009580	protein_coding	Odam	37.22
ENSMUSG00000009585	protein_coding	Apobec3	49.51
ENSMUSG00000009588	protein_coding	St6galnac1	48.11
ENSMUSG00000009596	protein_coding	Taf7l	40.19
ENSMUSG00000009614	protein_coding	Sardh	51.51
ENSMUSG00000009621	protein_coding	Vav2	51.41
ENSMUSG00000009628	protein_coding	Tex15	38.33
ENSMUSG00000009630	protein_coding	Ppp2cb	45.04
ENSMUSG00000009633	protein_coding	G0s2	57.24
ENSMUSG00000009640	protein_coding	Dmap1	50.88
ENSMUSG00000009646	protein_coding	Pla2g12b	45.78
ENSMUSG00000009647	protein_coding	Mcu	43.63
ENSMUSG00000009654	protein_coding	Oit3	45.46
ENSMUSG00000009670	protein_coding	Tex11	38
ENSMUSG00000009681	protein_coding	Bcr	48.93
ENSMUSG00000009687	protein_coding	Fxyd5	51.78
ENSMUSG00000009731	protein_coding	Kcnd1	47.78
ENSMUSG00000009733	protein_coding	Tfcp2	45.12
ENSMUSG00000009734	protein_coding	Pou6f2	40.6
ENSMUSG00000009739	protein_coding	Pou6f1	51.02
ENSMUSG00000009741	protein_coding	Ubp1	43.42
ENSMUSG00000009772	protein_coding	Nuak2	50.05
ENSMUSG00000009828	protein_coding	Cilk1	44.96
ENSMUSG00000009863	protein_coding	Sdhb	51.24
ENSMUSG00000009876	protein_coding	Cox4i2	50.11
ENSMUSG00000009894	protein_coding	Snap47	47.4
ENSMUSG00000009900	protein_coding	Wnt3a	49.97
ENSMUSG00000009905	protein_coding	Kdsr	44.87
ENSMUSG00000009907	protein_coding	Vps4b	39.62
ENSMUSG00000009927	protein_coding	Rps25	48.01
ENSMUSG00000009941	protein_coding	Nxf2	41.98
ENSMUSG00000009995	protein_coding	Taz	47.46
ENSMUSG00000010021	protein_coding	Kif19a	53.4
ENSMUSG00000010025	protein_coding	Aldh3a2	46.51
ENSMUSG00000010044	protein_coding	Zmynd10	56.34
ENSMUSG00000010045	protein_coding	Tmem115	55.06
ENSMUSG00000010047	protein_coding	Hyal2	55.45
ENSMUSG00000010048	protein_coding	Ifrd2	55.36
ENSMUSG00000010051	protein_coding	Hyal1	52.86
ENSMUSG00000010054	protein_coding	Tusc2	53.36
ENSMUSG00000010057	protein_coding	Nprl2	55.13
ENSMUSG00000010064	protein_coding	Slc38a3	53.75
ENSMUSG00000010066	protein_coding	Cacna2d2	52.37
ENSMUSG00000010067	protein_coding	Rassf1	49.97
ENSMUSG00000010080	protein_coding	Epn3	55.1
ENSMUSG00000010086	protein_coding	Rnf112	56.26
ENSMUSG00000010095	protein_coding	Slc3a2	46.65
ENSMUSG00000010097	protein_coding	Nxf1	45.88
ENSMUSG00000010110	protein_coding	Stx5a	44.25
ENSMUSG00000010122	protein_coding	Slc47a1	46.94
ENSMUSG00000010136	protein_coding	Pifo	39.91
ENSMUSG00000010142	protein_coding	Tnfrsf13b	46.34
ENSMUSG00000010154	protein_coding	Spire2	50
ENSMUSG00000010175	protein_coding	Prox1	45.14
ENSMUSG00000010205	protein_coding	Raver1	50
ENSMUSG00000010277	protein_coding	2610507B11Rik	44.67
ENSMUSG00000010290	protein_coding	AI597479	42.18
ENSMUSG00000010307	protein_coding	Tmem86a	56.16
ENSMUSG00000010311	protein_coding	Optc	50.09
ENSMUSG00000010342	protein_coding	Tex14	43.43
ENSMUSG00000010358	protein_coding	Ifi35	47.92
ENSMUSG00000010362	protein_coding	Rdm1	48.3
ENSMUSG00000010376	protein_coding	Nedd8	43.74
ENSMUSG00000010392	protein_coding	Gosr1	43.54
ENSMUSG00000010406	protein_coding	Mrpl52	48.17
ENSMUSG00000010435	protein_coding	Spaca7	46.32
ENSMUSG00000010453	protein_coding	Kansl3	45.65
ENSMUSG00000010461	protein_coding	Eya4	39.26
ENSMUSG00000010476	protein_coding	Ebf3	47.54
ENSMUSG00000010492	antisense	Uckl1os	52.8
ENSMUSG00000010505	protein_coding	Myt1	43.92
ENSMUSG00000010517	protein_coding	Faf1	37
ENSMUSG00000010529	protein_coding	Gm266	57.53
ENSMUSG00000010538	protein_coding	Tsacc	46.49
ENSMUSG00000010554	protein_coding	Mettl16	42.72
ENSMUSG00000010592	protein_coding	Dazl	34.69
ENSMUSG00000010601	protein_coding	Apol7a	48.11
ENSMUSG00000010607	protein_coding	Pigyl	57.37
ENSMUSG00000010608	protein_coding	Rbm25	37.84
ENSMUSG00000010609	protein_coding	Psen2	50.17
ENSMUSG00000010651	protein_coding	Acaa1b	55.76
ENSMUSG00000010660	protein_coding	Plcd1	52.78
ENSMUSG00000010663	protein_coding	Fads1	51.42
ENSMUSG00000010721	protein_coding	Lmbr1	40.53
ENSMUSG00000010751	protein_coding	Tnfrsf22	45.47
ENSMUSG00000010755	protein_coding	Cars	49.82
ENSMUSG00000010760	protein_coding	Phlda2	58.72
ENSMUSG00000010796	protein_coding	Asz1	37.88
ENSMUSG00000010797	protein_coding	Wnt2	42.07
ENSMUSG00000010803	protein_coding	Gabra1	35.78
ENSMUSG00000010825	protein_coding	Grid2ip	52.39
ENSMUSG00000010830	protein_coding	Kdelr3	49.36
ENSMUSG00000010841	protein_coding	Cfap97d1	48.5
ENSMUSG00000010911	protein_coding	Apip	42.42
ENSMUSG00000010914	protein_coding	Pdhx	40.15
ENSMUSG00000010936	protein_coding	Vac14	49.79
ENSMUSG00000011008	protein_coding	Mcoln2	46.55
ENSMUSG00000011034	protein_coding	Slc5a1	43.64
ENSMUSG00000011096	protein_coding	Akt1s1	57.05
ENSMUSG00000011114	protein_coding	Tbrg1	44.22
ENSMUSG00000011118	protein_coding	Panx3	44.47
ENSMUSG00000011148	protein_coding	Adssl1	53.71
ENSMUSG00000011154	protein_coding	Cfap161	42.81
ENSMUSG00000011158	protein_coding	Brf1	49.17
ENSMUSG00000011171	protein_coding	Vipr2	44.18
ENSMUSG00000011179	protein_coding	Odc1	47.42
ENSMUSG00000011254	protein_coding	Thg1l	44.65
ENSMUSG00000011256	protein_coding	Adam19	46.39
ENSMUSG00000011257	protein_coding	Pabpc4	47.46
ENSMUSG00000011263	protein_coding	Exoc3l2	51.38
ENSMUSG00000011267	protein_coding	Zfp296	55.88
ENSMUSG00000011305	protein_coding	Plin5	55.1
ENSMUSG00000011306	protein_coding	Sugp1	47.09
ENSMUSG00000011349	protein_coding	Dmrtc2	51.07
ENSMUSG00000011350	processed_transcript	Gm5893	46.51
ENSMUSG00000011382	protein_coding	Dhdh	46.64
ENSMUSG00000011427	protein_coding	Zfp790	46.65
ENSMUSG00000011463	protein_coding	Cpb1	38.14
ENSMUSG00000011486	protein_coding	Slc25a41	49.58
ENSMUSG00000011589	protein_coding	Fsd1	53.1
ENSMUSG00000011632	protein_coding	Pinlyp	49.85
ENSMUSG00000011658	protein_coding	Fuz	56.49
ENSMUSG00000011751	protein_coding	Sptbn4	49.27
ENSMUSG00000011752	protein_coding	Pgam1	47.91
ENSMUSG00000011831	protein_coding	Evi5	40.12
ENSMUSG00000011832	protein_coding	Evi5l	48.54
ENSMUSG00000011837	protein_coding	Snapc2	55.78
ENSMUSG00000011877	protein_coding	Git1	55.81
ENSMUSG00000011884	protein_coding	Gltp	52.92
ENSMUSG00000011958	protein_coding	Bnip2	41.21
ENSMUSG00000011960	protein_coding	Ccnt1	42.91
ENSMUSG00000012017	protein_coding	Scarf2	58.05
ENSMUSG00000012042	protein_coding	4930579F01Rik	43.4
ENSMUSG00000012076	protein_coding	Brms1l	42.17
ENSMUSG00000012114	protein_coding	Med15	44.78
ENSMUSG00000012117	protein_coding	Dhdds	46.25
ENSMUSG00000012123	protein_coding	Crybg2	51.73
ENSMUSG00000012126	protein_coding	Ubxn11	53.35
ENSMUSG00000012187	protein_coding	Mogat1	45.41
ENSMUSG00000012211	protein_coding	Tex22	48.51
ENSMUSG00000012282	protein_coding	Wnt8a	50.38
ENSMUSG00000012296	protein_coding	Tjap1	52.05
ENSMUSG00000012350	protein_coding	Ehf	44.33
ENSMUSG00000012396	protein_coding	Nanog	44.27
ENSMUSG00000012405	protein_coding	Rpl15	47.69
ENSMUSG00000012422	protein_coding	Tmem167	38.19
ENSMUSG00000012428	protein_coding	Steap4	40.35
ENSMUSG00000012429	protein_coding	Mplkip	40.27
ENSMUSG00000012443	protein_coding	Kif11	40.53
ENSMUSG00000012483	protein_coding	Rpa3	37.25
ENSMUSG00000012519	protein_coding	Mlkl	44.72
ENSMUSG00000012520	protein_coding	Phox2b	49.56
ENSMUSG00000012535	protein_coding	Tnpo3	39.9
ENSMUSG00000012609	protein_coding	Ttll5	43.81
ENSMUSG00000012640	protein_coding	Zfp715	41.91
ENSMUSG00000012705	protein_coding	Retn	48.4
ENSMUSG00000012777	protein_coding	Acp4	55.11
ENSMUSG00000012819	protein_coding	Cdh23	50.79
ENSMUSG00000012848	protein_coding	Rps5	47.71
ENSMUSG00000012889	protein_coding	Podnl1	55.12
ENSMUSG00000013033	protein_coding	Adgrl1	54.88
ENSMUSG00000013076	protein_coding	Amotl1	47.06
ENSMUSG00000013083	protein_coding	2200002J24Rik	50.53
ENSMUSG00000013089	protein_coding	Etv5	46.37
ENSMUSG00000013091	protein_coding	Tmem190	55.8
ENSMUSG00000013150	protein_coding	Gfod2	46.06
ENSMUSG00000013155	protein_coding	Enkd1	53.2
ENSMUSG00000013158	protein_coding	4933405L10Rik	57.83
ENSMUSG00000013160	protein_coding	Atp6v0d1	46.34
ENSMUSG00000013236	protein_coding	Ptprs	55.76
ENSMUSG00000013275	protein_coding	Slc41a1	51.39
ENSMUSG00000013338	protein_coding	Fer1l4	50.46
ENSMUSG00000013353	protein_coding	4931406B18Rik	46.98
ENSMUSG00000013367	protein_coding	Iglon5	52.08
ENSMUSG00000013415	protein_coding	Igf2bp1	48.52
ENSMUSG00000013418	protein_coding	B4galnt2	46.44
ENSMUSG00000013419	protein_coding	Zfp651	58.86
ENSMUSG00000013465	protein_coding	Nelfb	49.97
ENSMUSG00000013483	protein_coding	Card14	50.88
ENSMUSG00000013495	protein_coding	Tmem175	44.01
ENSMUSG00000013523	protein_coding	Bcas1	46.19
ENSMUSG00000013539	protein_coding	Tango2	47.51
ENSMUSG00000013562	lincRNA	4833413E03Rik	51.51
ENSMUSG00000013584	protein_coding	Aldh1a2	42.11
ENSMUSG00000013593	protein_coding	Ndufs2	49.3
ENSMUSG00000013611	protein_coding	Snx31	45.95
ENSMUSG00000013622	protein_coding	Atraid	44.69
ENSMUSG00000013629	protein_coding	Cad	52.38
ENSMUSG00000013643	protein_coding	Lypd8	47.01
ENSMUSG00000013646	protein_coding	Sh3bp5l	48.6
ENSMUSG00000013653	protein_coding	1810065E05Rik	46.95
ENSMUSG00000013662	protein_coding	Atad1	40.64
ENSMUSG00000013663	protein_coding	Pten	38.11
ENSMUSG00000013668	protein_coding	4933402N03Rik	44.08
ENSMUSG00000013698	protein_coding	Pea15a	51.34
ENSMUSG00000013701	protein_coding	Timm23	40.6
ENSMUSG00000013707	protein_coding	Tnfaip8l2	52.71
ENSMUSG00000013736	protein_coding	Trnt1	38.97
ENSMUSG00000013766	protein_coding	Ly6g6e	54.65
ENSMUSG00000013787	protein_coding	Ehmt2	54.75
ENSMUSG00000013822	protein_coding	Elof1	51.72
ENSMUSG00000013833	protein_coding	Med16	54.78
ENSMUSG00000013846	protein_coding	St3gal1	47.83
ENSMUSG00000013858	protein_coding	Tmem259	59.68
ENSMUSG00000013878	protein_coding	Rnf170	40.93
ENSMUSG00000013921	protein_coding	Clip3	52.48
ENSMUSG00000013928	protein_coding	Thap8	49.1
ENSMUSG00000013936	protein_coding	Myl2	51.67
ENSMUSG00000013973	protein_coding	Dedd	47
ENSMUSG00000013974	protein_coding	Mcemp1	49.32
ENSMUSG00000013997	protein_coding	Nit1	48.08
ENSMUSG00000014030	protein_coding	Pax5	49.09
ENSMUSG00000014039	protein_coding	Prdm15	47.08
ENSMUSG00000014074	protein_coding	Rnf168	41.26
ENSMUSG00000014075	protein_coding	Tctex1d2	42.74
ENSMUSG00000014077	protein_coding	Chp1	42.36
ENSMUSG00000014104	protein_coding	Sval2	35.54
ENSMUSG00000014158	protein_coding	Trpv4	53.51
ENSMUSG00000014164	protein_coding	Klhl3	48.04
ENSMUSG00000014177	protein_coding	Tvp23b	45.05
ENSMUSG00000014195	protein_coding	Dnajc7	45.63
ENSMUSG00000014198	protein_coding	Zfp385c	50.52
ENSMUSG00000014226	protein_coding	Cacybp	40.82
ENSMUSG00000014232	protein_coding	Cluap1	44.48
ENSMUSG00000014243	protein_coding	Zswim7	44.87
ENSMUSG00000014245	protein_coding	Pigl	44.12
ENSMUSG00000014294	protein_coding	Ndufa2	44.61
ENSMUSG00000014301	protein_coding	Pam16	49.15
ENSMUSG00000014303	protein_coding	Glis2	53.04
ENSMUSG00000014313	protein_coding	Cox6c	42.47
ENSMUSG00000014329	protein_coding	Bicc1	44.11
ENSMUSG00000014349	protein_coding	Ube2z	45.02
ENSMUSG00000014351	protein_coding	Gip	48.94
ENSMUSG00000014353	protein_coding	Tmem87b	41.68
ENSMUSG00000014355	protein_coding	Anapc1	40.55
ENSMUSG00000014361	protein_coding	Mertk	44.58
ENSMUSG00000014402	protein_coding	Tsg101	42.17
ENSMUSG00000014418	protein_coding	Hps5	43.38
ENSMUSG00000014426	protein_coding	Map3k4	47.58
ENSMUSG00000014444	protein_coding	Piezo1	53.71
ENSMUSG00000014453	protein_coding	Blk	47.46
ENSMUSG00000014470	protein_coding	Rnf166	53.63
ENSMUSG00000014496	protein_coding	Ankrd28	37.89
ENSMUSG00000014498	protein_coding	Ankrd52	52.45
ENSMUSG00000014503	protein_coding	Pkd2l2	44.65
ENSMUSG00000014504	protein_coding	Srp19	43.32
ENSMUSG00000014529	protein_coding	Tmbim7	43.84
ENSMUSG00000014542	protein_coding	Clec4f	48.64
ENSMUSG00000014543	protein_coding	Klra17	39.42
ENSMUSG00000014547	protein_coding	Wdfy2	43.64
ENSMUSG00000014550	protein_coding	Rbsn	44.03
ENSMUSG00000014551	protein_coding	Mrps25	45.53
ENSMUSG00000014554	protein_coding	Dguok	46.84
ENSMUSG00000014592	protein_coding	Camta1	48.85
ENSMUSG00000014599	protein_coding	Csf1	51.22
ENSMUSG00000014601	protein_coding	Strip1	48.79
ENSMUSG00000014602	protein_coding	Kif1a	51.34
ENSMUSG00000014603	protein_coding	Alx3	54.13
ENSMUSG00000014606	protein_coding	Slc25a11	54.2
ENSMUSG00000014609	protein_coding	Chrne	54.57
ENSMUSG00000014633	protein_coding	Cmc2	45.7
ENSMUSG00000014668	protein_coding	Chfr	42.9
ENSMUSG00000014686	protein_coding	Ceacam16	53.31
ENSMUSG00000014704	protein_coding	Hoxa2	49.65
ENSMUSG00000014725	protein_coding	Adam28	38.85
ENSMUSG00000014747	protein_coding	Ankrd53	52.33
ENSMUSG00000014748	protein_coding	Tex261	52.97
ENSMUSG00000014763	protein_coding	Fam120b	45.75
ENSMUSG00000014767	protein_coding	Tbp	41.5
ENSMUSG00000014769	protein_coding	Psmb1	44.9
ENSMUSG00000014771	protein_coding	Pdcd2	42.44
ENSMUSG00000014773	protein_coding	Dll1	53.76
ENSMUSG00000014776	protein_coding	Nol3	53.41
ENSMUSG00000014778	protein_coding	Fhod1	52.73
ENSMUSG00000014782	protein_coding	Plekhg4	55.22
ENSMUSG00000014786	protein_coding	Slc9a5	50.27
ENSMUSG00000014791	protein_coding	Elmo3	55.7
ENSMUSG00000014813	protein_coding	Stc1	44.19
ENSMUSG00000014837	protein_coding	4931428F04Rik	50.9
ENSMUSG00000014846	protein_coding	Tppp3	56.27
ENSMUSG00000014850	protein_coding	Msh3	42.68
ENSMUSG00000014852	protein_coding	Adamts13	49.5
ENSMUSG00000014856	protein_coding	Tmem208	52.83
ENSMUSG00000014859	protein_coding	E2f4	50.16
ENSMUSG00000014867	protein_coding	Surf4	49.76
ENSMUSG00000014873	protein_coding	Surf2	52.58
ENSMUSG00000014905	protein_coding	Dnajb9	40.35
ENSMUSG00000014907	protein_coding	Naf1	38.86
ENSMUSG00000014932	protein_coding	Yes1	39.14
ENSMUSG00000014956	protein_coding	Ppp1cb	39.85
ENSMUSG00000014959	protein_coding	Gorasp2	45.47
ENSMUSG00000014980	protein_coding	Tsen15	42.65
ENSMUSG00000015001	protein_coding	Oc90	44.12
ENSMUSG00000015002	protein_coding	Efr3a	38.98
ENSMUSG00000015013	protein_coding	Trappc2l	52.98
ENSMUSG00000015016	protein_coding	Acsf3	51.9
ENSMUSG00000015023	protein_coding	Ddx19a	45.19
ENSMUSG00000015027	protein_coding	Galns	51.98
ENSMUSG00000015053	protein_coding	Gata2	56.49
ENSMUSG00000015083	protein_coding	C8g	56.17
ENSMUSG00000015085	protein_coding	Entpd2	55.36
ENSMUSG00000015087	protein_coding	Rabl6	49.11
ENSMUSG00000015090	protein_coding	Ptgds	56.2
ENSMUSG00000015092	protein_coding	Edf1	52.48
ENSMUSG00000015093	protein_coding	Clic3	58.38
ENSMUSG00000015094	protein_coding	Npdc1	54.34
ENSMUSG00000015095	protein_coding	Fbxw5	57.03
ENSMUSG00000015112	protein_coding	Slc25a13	43.29
ENSMUSG00000015120	protein_coding	Ube2i	51.37
ENSMUSG00000015126	protein_coding	Tsr3	54.89
ENSMUSG00000015127	protein_coding	Unkl	49.74
ENSMUSG00000015133	protein_coding	Lrrk1	47.26
ENSMUSG00000015134	protein_coding	Aldh1a3	48.48
ENSMUSG00000015143	protein_coding	Actn1	49.36
ENSMUSG00000015149	protein_coding	Sirt2	51.3
ENSMUSG00000015165	protein_coding	Hnrnpl	51.25
ENSMUSG00000015176	protein_coding	Nolc1	48.91
ENSMUSG00000015189	protein_coding	Casd1	40.49
ENSMUSG00000015202	protein_coding	Cnksr3	46.4
ENSMUSG00000015214	protein_coding	Mtmr1	40.02
ENSMUSG00000015217	protein_coding	Hmgb3	51.46
ENSMUSG00000015222	protein_coding	Map2	38.34
ENSMUSG00000015224	protein_coding	Cyp2j9	38.54
ENSMUSG00000015242	protein_coding	Nipsnap3a	39.58
ENSMUSG00000015243	protein_coding	Abca1	44.25
ENSMUSG00000015247	protein_coding	Nipsnap3b	41.2
ENSMUSG00000015289	protein_coding	Lage3	45.97
ENSMUSG00000015290	protein_coding	Ubl4a	50.47
ENSMUSG00000015291	protein_coding	Gdi1	48.62
ENSMUSG00000015305	protein_coding	Sash1	45.66
ENSMUSG00000015312	protein_coding	Gadd45b	57.83
ENSMUSG00000015314	protein_coding	Slamf6	42.84
ENSMUSG00000015316	protein_coding	Slamf1	42.93
ENSMUSG00000015335	protein_coding	Zdhhc12	57.34
ENSMUSG00000015337	protein_coding	Endog	60.42
ENSMUSG00000015340	protein_coding	Cybb	39.72
ENSMUSG00000015341	protein_coding	Golga7	44.26
ENSMUSG00000015342	protein_coding	Xk	40.06
ENSMUSG00000015354	protein_coding	Pcolce2	44.38
ENSMUSG00000015355	protein_coding	Cd48	41.3
ENSMUSG00000015357	protein_coding	Clpx	40.74
ENSMUSG00000015363	protein_coding	Trabd	54.11
ENSMUSG00000015365	protein_coding	Mov10l1	44.86
ENSMUSG00000015377	protein_coding	Dennd6b	52.98
ENSMUSG00000015396	protein_coding	Cd83	45.78
ENSMUSG00000015401	protein_coding	Cltrn	40.81
ENSMUSG00000015405	protein_coding	Ace2	39.92
ENSMUSG00000015437	protein_coding	Gzmb	49.69
ENSMUSG00000015441	protein_coding	Gzmf	43.72
ENSMUSG00000015443	protein_coding	Gzmn	46.11
ENSMUSG00000015451	processed_transcript	C4a	55.44
ENSMUSG00000015452	protein_coding	Ager	56.26
ENSMUSG00000015461	protein_coding	Atf6b	57.06
ENSMUSG00000015467	protein_coding	Egfl8	57.91
ENSMUSG00000015468	protein_coding	Notch4	54.02
ENSMUSG00000015474	protein_coding	Ppt2	49.16
ENSMUSG00000015476	protein_coding	Prrt1	58.04
ENSMUSG00000015478	protein_coding	Rnf5	52.04
ENSMUSG00000015484	protein_coding	Fam163a	46.69
ENSMUSG00000015488	protein_coding	Cacfd1	50.58
ENSMUSG00000015501	protein_coding	Hivep2	42.15
ENSMUSG00000015519	protein_coding	2310057J18Rik	36.65
ENSMUSG00000015522	protein_coding	Arnt	40.93
ENSMUSG00000015533	protein_coding	Itga2	41.04
ENSMUSG00000015536	protein_coding	Mocs2	42.15
ENSMUSG00000015542	protein_coding	Nat9	53.74
ENSMUSG00000015568	protein_coding	Lpl	42.17
ENSMUSG00000015575	protein_coding	Atp6v0e	45.98
ENSMUSG00000015579	protein_coding	Nkx2-5	54.81
ENSMUSG00000015597	protein_coding	Zfp318	42.01
ENSMUSG00000015599	protein_coding	Ttbk1	53.93
ENSMUSG00000015605	protein_coding	Srf	55.91
ENSMUSG00000015619	protein_coding	Gata3	48.26
ENSMUSG00000015627	protein_coding	Gata5	52.22
ENSMUSG00000015647	protein_coding	Lama5	55.34
ENSMUSG00000015652	protein_coding	Steap1	41.45
ENSMUSG00000015653	protein_coding	Steap2	41.75
ENSMUSG00000015656	protein_coding	Hspa8	47.73
ENSMUSG00000015659	protein_coding	Serac1	45.47
ENSMUSG00000015665	protein_coding	Awat1	45.16
ENSMUSG00000015668	protein_coding	Pdzd11	48.05
ENSMUSG00000015671	protein_coding	Psma2	40.11
ENSMUSG00000015672	protein_coding	Mrpl32	39.38
ENSMUSG00000015697	protein_coding	Setdb1	42.87
ENSMUSG00000015702	protein_coding	Anxa9	47.91
ENSMUSG00000015709	protein_coding	Arnt2	45.46
ENSMUSG00000015711	protein_coding	Prune1	46.98
ENSMUSG00000015714	protein_coding	Cers2	50.98
ENSMUSG00000015721	protein_coding	Nlrp5	43.23
ENSMUSG00000015733	protein_coding	Capza2	38.04
ENSMUSG00000015745	protein_coding	Plekho1	53.72
